Brand,Device,Manufacturer,Model Name,RAM (TotalMem),Form Factor,System on Chip,GPU,Screen Sizes,Screen Densities,ABIs,Android SDK Versions,OpenGL ES Versions
POLAROID,GMP,Polaroid,SMX4K,2086MB,TV,Amlogic AMLS905Y2,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2
POLAROID,R1,Polaroid,Android TV,1610MB,TV,Realtek RTD2841,2x ARM Mali 470 (600 MHz),720x1280,213,armeabi;armeabi-v7a,28,2.0
POLAROID,R2,Polaroid,Android TV,2147MB,TV,Realtek RTD2851,3x ARM Mali 470 (600 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
Polaroid,bangbae,Polaroid,Polaroid,1402MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
Polaroid,ewha,Polaroid,Polaroid,953MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2.0
Polaroid,kenton,Polaroid,Polaroid 4K Android TV,2147MB,TV,Realtek RTD2851A,2x ARM Mali G31 (700 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2
Polaroid,komagome,Polaroid,Polaroid,953MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2.0
Polaroid,lasalle,Polaroid,Polaroid 2K Android TV,1610MB,TV,Realtek RTD2841,2x ARM Mali 470 (600 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2
Polaroid,sindang,Polaroid,polaroid,1402MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
POLYTRON,PDB_F2,Polytron,PDB-F2,2104MB,TV,Amlogic AMLS905X,3x ARM Mali 450 (750 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
POLYTRON,mateo,Polytron,Smart TV,956MB,TV,Mediatek t56,ARM Mali G31 (550 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2
Polytron,osaki,Polytron,Polytron 2K AI Smart TV,951MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2.0
PRIME,shinagawa,Prime,PRIME Android TV,951MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2.0
Prism,longshan,Prism,Android TV,1877MB,TV,Mediatek t31,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2
Prism,sindorim,Prism,UHD Android TV,1402MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
Profilo,tamachi,Profilo,Turkey,951MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2.0
Profilo,yeongdeungpo,Profilo,Turkey,1402MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
Proximus,uiw4020pxm,Proximus,Proximus TV,1751MB,TV,Broadcom BCM7271,Unknown,1080x1920,320,armeabi;armeabi-v7a,28,3.1
QBell,bangbae,QBell,QBell,1402MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
QBELL,hanyang,QBell,Qbell android TV,1402MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
QBell,komagome,QBell,QBell,953MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2.0
QBELL,nippori,QBell,EU,951MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2.0
Qbell,tamachi,QBell,Italy,951MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2.0
Qilive,tamachi,Qilive,Europe,951MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2.0
Qilive,yeongdeungpo,Qilive,Europe,1402MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
Quickline,dciw387,Quickline,Quickline UHD Box,1806MB,TV,Broadcom BCM7271,Unknown,1080x1920,320,armeabi;armeabi-v7a,28,3.1
HKC,gangbyeon,RCA,4K Smart TV,1402MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
RCA,gangbyeon,RCA,4K Smart TV,1402MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
RCA,kanda,RCA,Smart TV,947MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2.0
HKC,mateo,RCA,Smart TV,960MB,TV,Mediatek t56,ARM Mali G31 (550 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2
UNICO,osaki,RCA,Smart TV,951MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2.0
RCA,osaki,RCA,Smart TV,951MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2.0
HKC,pioneer,RCA,4K Smart TV,1829MB,TV,Mediatek t32,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2
RCA,seocho,RCA,RCA,1402MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
RCA,ueno,RCA,Smart TV,953MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2.0
RECCO,R1,RECCO,Android TV,1610MB,TV,Realtek RTD2841,2x ARM Mali 470 (600 MHz),720x1280,213,armeabi;armeabi-v7a,28,2.0
RECCO,R2,RECCO,Android TV,2147MB,TV,Realtek RTD2851,3x ARM Mali 470 (600 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
razer,pearlyn,Razer,Forge TV,2019MB,TV,Qualcomm APQ8084,Qualcomm Adreno 420 (600 MHz),1080x1920,320,armeabi;armeabi-v7a,23,3.1
realme,SW4H_FF,Realme,realme Smart TV,1766MB,TV,Mediatek t32,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2
Realme,ikebukuro,Realme,realme TV ,951MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2.0
Realtek,RealtekHank,Realtek,RealtekHank,3984MB,TV,Realtek RTD1319,2x ARM Mali G31 (750 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2
Redmi,rango,Redmi,MiTV,1036MB,TV,Amlogic AMLT950X4,2x ARM Mali G31 (850 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2
Redmi,tarzan,Redmi,Smart TV,1886MB,TV,Mediatek t31,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2
RiksTV,HP40A3,RiksTV,SRT412,2087MB,TV,Amlogic AMLS905X2,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2
Rindo,ikebukuro,Rindo,R-32B6600,951MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2.0
Rindo,longshan,Rindo,Smart TV,1874MB,TV,Mediatek t31,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2
Rindo,redwood,Rindo,Smart TV,962MB,TV,Mediatek t56,ARM Mali G31 (550 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2
Rindo,samseong,Rindo,Smart TV,1402MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
Riviera,hamamatsucho,Riviera,Riviera,951MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2.0
Riviera,ikebukuro,Riviera,RLED-AND42CHG6F,951MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2.0
Riviera,sindorim,Riviera,RLED-AND50CHG6FP,1402MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
RockTek,RTBox,RockTek,RT-G1,2084MB,TV,HiSilicon hi3798mv200,ARM Mali 450 (750 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2
Svision,hanyang,S Vision,S android TV,1402MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
SABA,longshan,SABA,Smart TV,1874MB,TV,Mediatek t31,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2
SABA,redwood,SABA,A11,962MB,TV,Mediatek t56,ARM Mali G31 (550 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2
SAMPO,R2,SAMPO,Android TV,2147MB,TV,Realtek RTD2851,3x ARM Mali 470 (600 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
SANLUX,SW4H,SANLUX,SANLUX 4K MONITOR,1766MB,TV,Mediatek t32,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2
SCHNEIDER,R1,SCHNEIDER,Android TV,1610MB,TV,Realtek RTD2841,2x ARM Mali 470 (600 MHz),720x1280,213,armeabi;armeabi-v7a,28,2.0
SCHNEIDER,R2,SCHNEIDER,Android TV,2147MB,TV,Realtek RTD2851,3x ARM Mali 470 (600 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
SCHNEIDER,bangbae,SCHNEIDER,SCHNEIDER,1402MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
SCHNEIDER,komagome,SCHNEIDER,SCHNEIDER,953MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2.0
SFR,DV8219,SFR.fr,FR,2085MB,TV,Amlogic AMLS905X,3x ARM Mali 450 (750 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
SFR,DV8555-SFR,SFR.fr,Connect TV de SFR,2085MB,TV,Amlogic AMLS905X2,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,28,3.2
SHINON,ikebukuro,SHINON,SH32G7S,951MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2.0
SHINON,samseong,SHINON,SH55G7K,1402MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
SITI_Playtop,DTC2141,SITI_Playtop,SITIH3455N,1701MB,TV,Realtek RTD1611,3x ARM Mali G51 (750 MHz),1080x1920,320,armeabi;armeabi-v7a,28,3.2
SKB,BFX-AT100,SK Broadband,BFX-AT100,3136MB,TV,Amlogic AMLS905X2,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2
SKB,BFX-UA300,SK Broadband,SWAN,2078MB,TV,Marvell BG5-CT,Imagination Tech PowerVR GE8310 (600 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2
KaonMedia,BKO-AT800,SK Broadband,BKO-AT800,2087MB,TV,Broadcom BCM7268,Unknown,1080x1920,320,armeabi;armeabi-v7a,26,3.1
ARRIS,vip5442,SK Broadband,BTV,2080MB,TV,Broadcom BCM7268,Unknown,1080x1920,320,armeabi;armeabi-v7a,26,3.1
SKB,BIP-AI100,SK broadband,AI2,2078MB,TV,Marvell BG5-CT,Imagination Tech PowerVR GE8310 (600 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2
SKB,BIP-EB100,SK broadband,PlayZ,3141MB,TV,Amlogic AMLS905X4,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2
SKB,BIP-UW200,SK broadband,Smart3 Mini,3138MB,TV,Amlogic AMLS905X3,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2
SKB,INTEKS20SI,SK broadband,SMART3,3136MB,TV,Amlogic AMLS905X2,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2
SKB,INTEKS21SI,SK broadband,AI2 ATV,2078MB,TV,Marvell BG5-CT,Imagination Tech PowerVR GE8310 (600 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2
SKY,HY40A,SKY EVO,SA100,2085MB,TV,Amlogic AMLS905X2,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,28,3.2
SKY_Brasil,usw8052skb,SKY_Brasil,Sky Brazil,2864MB,TV,Broadcom BCM72160,Unknown,1080x1920,320,armeabi;armeabi-v7a,29,3.1
SUPERSONIC,kanda,SUPERSONIC,Smart TV,947MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2.0
SW,SW3H_ATV,SWTV,Europe,1640MB,TV,Mediatek MT5597,ARM Mali 450 (492 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
SW,SW3_ATV,SWTV,North America,1251MB,TV,Mediatek MT5597,ARM Mali 450 (492 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
SW,SW4H,SWTV,SWTV-20AE,1766MB,TV,Mediatek t32,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2
SW,SW4H_FF,SWTV,SWTV-20AE-PRO,1766MB,TV,Mediatek t32,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2
SW,SW6H,SWTV,SW-22SA,1850MB,TV,Mediatek t32,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2
skyworth,sunnyvale,SWTV,SWTV-21SA,962MB,TV,Mediatek t56,ARM Mali G31 (550 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2
SYLVANIA,gangbyeon,SYLVANIA,4K Smart TV,1402MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
SYLVANIA,kanda,SYLVANIA,Smart TV,947MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2.0
KaonMedia,SFCSTB2LITE,Safaricom,SFCSTB2LITE,1863MB,TV,Amlogic AMLS905D,3x ARM Mali 450 (750 MHz),1080x1920,320,arm64-v8a;armeabi;armeabi-v7a,24,2.0
wibox,dtiw384wb,Sagemcom,Wibox,1500MB,TV,Broadcom BCM7252S,Unknown,1080x1920,320,armeabi;armeabi-v7a,25,3.0
SANSUI,SW4H,Sansui,SANSUITV UHD,1766MB,TV,Mediatek t32,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2
SANSUI,martin,Sansui,"USA,Canada,Mexico",962MB,TV,Mediatek t56,ARM Mali G31 (550 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2
SANSUI,shibuya,Sansui TV,SANSUITV,947MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2.0
SANSUI,yeongdeungpo,Sansui TV,Canada,1402MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
SANYO,R1,Sanyo,Android TV,1610MB,TV,Realtek RTD2841,2x ARM Mali 470 (600 MHz),720x1280,213,armeabi;armeabi-v7a,28,2.0
SANYO,R2,Sanyo,Android TV,2147MB,TV,Realtek RTD2851,3x ARM Mali 470 (600 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
SaskTel,HMB2213PW22WA,Sasktel,SaskTel maxTV Stream,1396MB,TV,Broadcom BCM7252S,Unknown,1080x1920,320,armeabi;armeabi-v7a,28,3.0
SaskTel,uiw4054sas,Sasktel,maxTV Stream,3787MB,TV,Broadcom BCM7218,Unknown,1080x1920,320,armeabi;armeabi-v7a,29,3.1
Sceptre,gangbyeon,Sceptre,4K Smart TV,1402MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
TATUNG,gangbyeon,Sceptre,4K Smart TV,1402MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
Sceptre,kanda,Sceptre,Smart TV,947MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2.0
SecQre,SEI100,SecQre,ATV HD Stick,1032MB,TV,Amlogic AMLS805X,3x ARM Mali 450 (750 MHz),720x1280,213,armeabi;armeabi-v7a,26,2.0
SHARP,OD0M_EA_T32,Sharp,SHARP UHD TV,1403MB,TV,Mediatek t32,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2
Sharp,SW4H_FF,Sharp,SHARP Android TV,1766MB,TV,Mediatek t32,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2
SHARP,an_np40,Sharp,AN-NP40,1403MB,TV,Mediatek MT5595,Unknown,1080x1920,320,armeabi;armeabi-v7a,22,3.0
SHARP,banqiao,Sharp,EN3/EL3,1877MB,TV,Mediatek t31,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2
SHARP,ebisu,Sharp,BG/BE,952MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2.0
SHARP,ewha,Sharp,Sharp,953MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2.0
SHARP,gangnam,Sharp,BJ,1416MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
SHARP,guro,Sharp,4T-C60BK2UD,1416MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
SHARP,jamsil,Sharp,BK/BJ/CK/CL/CJ,1416MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
SHARP,lc_le580t,Sharp,LC-LE580T,1478MB,TV,Mediatek MT5595,Unknown,1080x1920,320,armeabi;armeabi-v7a,23,3.1
SHARP,lc_le580x,Sharp,LC-LE580X,1478MB,TV,Mediatek MT5595,Unknown,1080x1920,320,armeabi;armeabi-v7a,23,3.1
SHARP,lc_sunuj,Sharp,LC-US5/LC-UH5/4T-C**AJ1/4T-C70AU1,1994MB,TV,Mediatek MT5596,Unknown,1080x1920,320,armeabi;armeabi-v7a,26,3.2
SHARP,lc_theut,Sharp,LC-UA6800T/4T-C**AM1T,1994MB,TV,Mediatek MT5596,Unknown,1080x1920,320,armeabi;armeabi-v7a,26,3.2
SHARP,lc_theux,Sharp,LC-UA6800X,1994MB,TV,Mediatek MT5596,Unknown,1080x1920,320,armeabi;armeabi-v7a,26,3.2
SHARP,lc_u35t,Sharp,LC-U35T ,1403MB,TV,Mediatek MT5595,Unknown,1080x1920,320,armeabi;armeabi-v7a,23,3.1
SHARP,lc_ue630x,Sharp,LC-xxUE630X ,1403MB,TV,Mediatek MT5595,Unknown,1080x1920,320,armeabi;armeabi-v7a,23,3.1
SHARP,lc_xu35t,Sharp,LC-XU35T,1389MB,TV,Mediatek MT5595,Unknown,1080x1920,320,armeabi;armeabi-v7a,23,3.1
SHARP,lc_xu930x_830x,Sharp,LC-XU930X_830X,1404MB,TV,Mediatek MT5595,Unknown,1080x1920,320,armeabi;armeabi-v7a,22,3.0
SHARP,meguro,Sharp,BG/BE/CG,952MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2.0
SHARP,sharp_2k15_us_android,Sharp,LC-**UH30U,1179MB,TV,Mediatek MT5595,Unknown,1080x1920,320,armeabi;armeabi-v7a,22,3.0
SHARP,shinagawa,Sharp,SHARP 2K SMART TV,952MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2.0
SHARP,sindang,Sharp,Sharp,1416MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
SHARP,takao,Sharp,SHARP FHD TV,951MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2.0
SHARP,tcba8sx,Sharp,8T-C**DW1X,6696MB,TV,Mediatek t30,2x ARM Mali G52 (800 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2
SHARP,tcme8sj,Sharp,8T-C**BW1,2487MB,TV,Mediatek MT5598,3x ARM Mali G71 (698 MHz),1080x1920,320,armeabi;armeabi-v7a,28,3.2
SHARP,tcme8tsj,Sharp,8T-C**CX1,2487MB,TV,Mediatek MT5598,3x ARM Mali G71 (698 MHz),1080x1920,320,armeabi;armeabi-v7a,28,3.2
SHARP,tcmeruj,Sharp,4T-C**BL1/BJ1/BN1/CL1/CN1/CQ1,3100MB,TV,Mediatek MT5598,3x ARM Mali G71 (698 MHz),1080x1920,320,armeabi;armeabi-v7a,28;29,3.2
SHARP,tcsu2uj,Sharp,"4T-C**AM1/AN1/AL1,8T-C**AX1/AW1",1994MB,TV,Mediatek MT5596,Unknown,1080x1920,320,armeabi;armeabi-v7a,26,3.2
SHARP,tcth2ut,Sharp,AQUOS 8T-**AX1T,1994MB,TV,Mediatek MT5596,Unknown,1080x1920,320,armeabi;armeabi-v7a,26,3.2
SHARP,tcth2ux,Sharp,AQUOS 4T/8T-C**AL1X/AL2X/AX1X,1994MB,TV,Mediatek MT5596,Unknown,1080x1920,320,armeabi;armeabi-v7a,26,3.2
SHARP,tcve2uj,Sharp,4T-C**DL1/DJ1/DQ1/DN2,3164MB,TV,Mediatek t30,2x ARM Mali G52 (800 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2
SHARP,tcve8sj,Sharp,8T-C**DW1,6679MB,TV,Mediatek t30,2x ARM Mali G52 (800 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2
SHARP,tcvenruj,Sharp,4T-C**EN1/EQ1/ES1/EU1,2814MB,TV,Mediatek t30,2x ARM Mali G52 (800 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2
SHARP,tcvenuj,Sharp,4T-C**DS1/DN1,3164MB,TV,Mediatek t30,2x ARM Mali G52 (800 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2
Jiuzhou,DTP9503,Shenzhen Jiuzhou,DTP9503,1945MB,TV,HiSilicon hi3798mv200,ARM Mali 450 (750 MHz),1080x1920,320,armeabi;armeabi-v7a,26,2.0
VEON,SEI103,Shenzhen SEI Robotics,SEI103V,1030MB,TV,Amlogic AMLS805X,3x ARM Mali 450 (750 MHz),720x1280,213,armeabi;armeabi-v7a,28,2.0
waiputv,SEI700WP,Shenzhen SEI Robotics,waipu tv stick,2086MB,TV,Amlogic AMLS905Y4,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2
google,adt2,Shenzhen SEI Robotics,ADT-2,2086MB,TV,Amlogic AMLS905X,3x ARM Mali 450 (750 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
GOtv,HND,Shenzhen SEI Robotics TV - Harman,SEI600GO,2086MB,TV,Amlogic AMLS905X3,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2
SINGER,R1,Singer,Android TV,1610MB,TV,Realtek RTD2841,2x ARM Mali 470 (600 MHz),720x1280,213,armeabi;armeabi-v7a,28,2.0
SINGER,R2,Singer,Android TV,2147MB,TV,Realtek RTD2851,3x ARM Mali 470 (600 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
Singer,shibuya,Singer,SingerTV,947MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2.0
SINGER,sunnyvale,Singer,SINGER ANDROID TV,960MB,TV,Mediatek t56,ARM Mali G31 (550 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2
Sky,DV6067Y_SKY,Sky (CH),Sky TV Stick,2087MB,TV,Amlogic AMLS905Y2,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,28,3.2
SKYLIFE,DMTS17SS,SkyLife,skylife LTE TV,2560MB,TV,Broadcom BCM7252S,Unknown,720x1280,213,armeabi;armeabi-v7a,25,3.0
SKYLIFE,DMTS18SS,SkyLife,Skylife android 2nd TV,2567MB,TV,Broadcom BCM7268,Unknown,1080x1920,320,armeabi;armeabi-v7a,26,3.1
KaonMedia,IC1110,SkyLife,UHD2,2273MB,TV,Broadcom BCM7252S,Unknown,1080x1920,320,armeabi;armeabi-v7a,23,3.0
SKYLIFE,INTEKS19SS,SkyLife,UHD_S56AT,1938MB,TV,HiSilicon hi3798mv200,ARM Mali 450 (750 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
KaonMedia,KSTB2019,SkyLife,KSTB2019,2577MB,TV,Broadcom BCM7268,Unknown,1080x1920,320,armeabi;armeabi-v7a,26,3.1
SkyLife,KSTB6165,SkyLife,KSTB6165,1908MB,TV,Realtek RTD1319,2x ARM Mali G31 (750 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2
NT,HP40A,Skyworth,NT-01,2084MB,TV,Amlogic AMLS905X2,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2
SDTV,HY44J,Skyworth,UrTV1,2086MB,TV,Amlogic AMLS905X4,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2
Skyworth,LAS,Skyworth,LEAP-S1,2084MB,TV,Amlogic AMLS905X2,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2
globe_ATV,globe_ap,Skyworth,Asia,1968MB,TV,Mediatek MT5596,Unknown,1080x1920,320,armeabi;armeabi-v7a,24;26,3.2
globe_ATV,globe_eu,Skyworth,Europe,1436MB,TV,Mediatek MT5596,Unknown,1080x1920,320,armeabi;armeabi-v7a,26,3.2
globe_ATV,globe_na,Skyworth,North America,1169MB,TV,Mediatek MT5596,Unknown,1080x1920,320,armeabi;armeabi-v7a,26,3.2
globe_ATV,globe_sa,Skyworth,South America,1960MB,TV,Mediatek MT5596,Unknown,1080x1920,320,armeabi;armeabi-v7a,26,3.2
open_fhd_ATV,open_fhd_ap,Skyworth,Asia,1078MB,TV,Mediatek MT5597,ARM Mali 450 (492 MHz),1080x1920,320,armeabi;armeabi-v7a,26,2.0
open_fhd_ATV,open_fhd_sa,Skyworth,South Africa,1053MB,TV,Mediatek MT5597,ARM Mali 450 (492 MHz),1080x1920,320,armeabi;armeabi-v7a,26,2.0
open_uhd_ATV,open_uhd_ap,Skyworth,Asia,1108MB,TV,Mediatek MT5597,ARM Mali 450 (492 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
open_uhd_ATV,open_uhd_hk,Skyworth,Hong Kong,1108MB,TV,Mediatek MT5597,ARM Mali 450 (492 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
skyworth,shibuya,Skyworth,APAC 2K TV,947MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2.0
skyworth,shimbashi,Skyworth,North America,947MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2.0
Metz,shinagawa,Skyworth,METZ 2K TV,951MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2.0
skyworth,shinjuku,Skyworth,South America,951MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2.0
