Brand,Device,Manufacturer,Model Name,RAM (TotalMem),Form Factor,System on Chip,GPU,Screen Sizes,Screen Densities,ABIs,Android SDK Versions,OpenGL ES Versions
Vestel,yeoksam,My,Android TV,1385MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
MyBox,DV8020,MyBox,MBIF-H533,1033MB,TV,Amlogic AMLS805X,3x ARM Mali 450 (750 MHz),720x1280,213,armeabi;armeabi-v7a,26,2.0
MyanmarNet,SEI140FT,MyanmarNet,TVie 1B,2082MB,TV,Amlogic AMLS805Y,3x ARM Mali 450 (750 MHz),720x1280,213,armeabi;armeabi-v7a,29,2.0
MYSTIC,R1,Mystic,Android TV,1610MB,TV,Realtek RTD2841,2x ARM Mali 470 (600 MHz),720x1280,213,armeabi;armeabi-v7a,28,2.0
MYSTIC,R2,Mystic,Android TV,2147MB,TV,Realtek RTD2851,3x ARM Mali 470 (600 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
KaonMedia,KSTB2020,NCTC,KSTB2020,1813MB,TV,Broadcom BCM7268,Unknown,1080x1920,320,armeabi;armeabi-v7a,26,3.1
KaonMedia,KSTB2100,NCTC,KSTB2100,1831MB,TV,Broadcom BCM7271,Unknown,1080x1920,320,armeabi;armeabi-v7a,29,3.1
NETOGY,YXU,NETOGY,NOVA,2085MB,TV,Amlogic AMLS905Y4,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2
NETTV,SEI500NTV,NETTV,NETTV,2086MB,TV,Amlogic AMLS905X2,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2
NGM,R1,NGM Italia SRL,Android TV,1610MB,TV,Realtek RTD2841,2x ARM Mali 470 (600 MHz),720x1280,213,armeabi;armeabi-v7a,28,2.0
NOWO,DV8535-KPN,NOWO,DV 8535 4K,2086MB,TV,Amlogic AMLS905X2,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2
NOWO,DV8935-KPN,NOWO,DV 8935 X4,2086MB,TV,Amlogic AMLS905X4,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2
NVIDIA,darcy,NVIDIA,SHIELD TV,3093MB,TV,NVidia Tegra X1 T210,NVidia Maxwell  (1000 MHz),1080x1920,320,arm64-v8a;armeabi;armeabi-v7a,30,3.2
NVIDIA,foster,NVIDIA,SHIELD Android TV,3093MB,TV,NVidia Tegra X1 T210,NVidia Maxwell  (1000 MHz),1080x1920,320,arm64-v8a;armeabi;armeabi-v7a,30,3.2
NVIDIA,mdarcy,NVIDIA,SHIELD TV Pro,3093MB,TV,NVidia Tegra X1+,Unknown,1080x1920,320,arm64-v8a;armeabi;armeabi-v7a,28;30,3.2
NVIDIA,sif,NVIDIA,SHIELD TV,2039MB,TV,NVidia Tegra X1+,Unknown,1080x1920,320,armeabi;armeabi-v7a,28;30,3.2
nano,gangbyeon,Nano,4K Smart TV,1402MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
nano,osaki,Nano,Smart TV,951MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2.0
Nano,tamachi,Nano,Thailand,951MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,28,2.0
Nano,yeongdeungpo,Nano, Thailand,1402MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
NEBULA,CJU,Nebula,D0480,2086MB,TV,Amlogic AMLS905Y2,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,29,3.2
NEBULA,D2140-Cosmos,Nebula,D2160,2103MB,TV,Amlogic AMLT962X2,3x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,28,3.2
NEBULA,DM8260,Nebula,D2241,1040MB,TV,Amlogic AMLS905X,3x ARM Mali 450 (750 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
NEBULA,DM8261,Nebula,D2421,2104MB,TV,Amlogic AMLS905X,3x ARM Mali 450 (750 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0
